"YEAR","DISTRICT","DISTRICT NAME","CRISIS CODE","CRISIS CODEX","STUDENT COUNT"
2019-20,001907,PALESTINE ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,95
2019-20,001907,PALESTINE ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,14
2019-20,001907,PALESTINE ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,113
2019-20,001908,WESTWOOD ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,234"
2019-20,001908,WESTWOOD ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,19
2019-20,001908,WESTWOOD ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,001908,WESTWOOD ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,001908,WESTWOOD ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,116
2019-20,001908,WESTWOOD ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,001908,WESTWOOD ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,37
2019-20,001908,WESTWOOD ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,001908,WESTWOOD ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,89
2019-20,001909,SLOCUM ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,352
2019-20,001909,SLOCUM ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,19
2019-20,002901,ANDREWS ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"4,030"
2019-20,002901,ANDREWS ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,28
2019-20,002901,ANDREWS ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,002901,ANDREWS ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,23
2019-20,002901,ANDREWS ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,64
2019-20,002901,ANDREWS ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,75
2019-20,002901,ANDREWS ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,24
2019-20,002901,ANDREWS ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,002901,ANDREWS ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,23
2019-20,003801,PINEYWOODS COMMUNITY ACADEMY,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,904
2019-20,003801,PINEYWOODS COMMUNITY ACADEMY,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,003801,PINEYWOODS COMMUNITY ACADEMY,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,003801,PINEYWOODS COMMUNITY ACADEMY,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,003801,PINEYWOODS COMMUNITY ACADEMY,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,26
2019-20,003801,PINEYWOODS COMMUNITY ACADEMY,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,003801,PINEYWOODS COMMUNITY ACADEMY,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,27
2019-20,003801,PINEYWOODS COMMUNITY ACADEMY,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,003801,PINEYWOODS COMMUNITY ACADEMY,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,22
2019-20,003902,HUDSON ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"2,756"
2019-20,003902,HUDSON ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,12
2019-20,003902,HUDSON ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,003902,HUDSON ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,003902,HUDSON ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,31
2019-20,003902,HUDSON ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,003902,HUDSON ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,-999
2019-20,003902,HUDSON ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,003902,HUDSON ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,82
2019-20,003903,LUFKIN ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"5,911"
2019-20,003903,LUFKIN ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,50
2019-20,003903,LUFKIN ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,49
2019-20,003903,LUFKIN ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,20
2019-20,003903,LUFKIN ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,"1,007"
2019-20,003903,LUFKIN ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,74
2019-20,003903,LUFKIN ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,72
2019-20,003903,LUFKIN ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,51
2019-20,003903,LUFKIN ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,561
2019-20,003904,HUNTINGTON ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,581"
2019-20,003904,HUNTINGTON ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,003904,HUNTINGTON ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,-999
2019-20,003905,DIBOLL ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,588"
2019-20,003905,DIBOLL ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,003905,DIBOLL ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,003905,DIBOLL ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,83
2019-20,003905,DIBOLL ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,003905,DIBOLL ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,72
2019-20,003905,DIBOLL ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,29
2019-20,003906,ZAVALLA ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,294
2019-20,003906,ZAVALLA ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,19
2019-20,003906,ZAVALLA ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,-999
2019-20,003906,ZAVALLA ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,-999
2019-20,003907,CENTRAL ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,143"
2019-20,003907,CENTRAL ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,16
2019-20,003907,CENTRAL ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,003907,CENTRAL ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,003907,CENTRAL ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,143
2019-20,003907,CENTRAL ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,003907,CENTRAL ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,26
2019-20,003907,CENTRAL ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,003907,CENTRAL ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,101
2019-20,004901,ARANSAS COUNTY ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"2,781"
2019-20,004901,ARANSAS COUNTY ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,004901,ARANSAS COUNTY ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,004901,ARANSAS COUNTY ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,10
2019-20,004901,ARANSAS COUNTY ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,56
2019-20,004901,ARANSAS COUNTY ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,004901,ARANSAS COUNTY ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,119
2019-20,004901,ARANSAS COUNTY ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,004901,ARANSAS COUNTY ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,13
2019-20,005901,ARCHER CITY ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,494
2019-20,005901,ARCHER CITY ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,005901,ARCHER CITY ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,005901,ARCHER CITY ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,14
2019-20,005902,HOLLIDAY ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,-999
2019-20,005902,HOLLIDAY ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,005904,WINDTHORST ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,375
2019-20,006902,CLAUDE ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,309
2019-20,006902,CLAUDE ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,006902,CLAUDE ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,006902,CLAUDE ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,-999
2019-20,006902,CLAUDE ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,-999
2019-20,006902,CLAUDE ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,006902,CLAUDE ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,-999
2019-20,007901,CHARLOTTE ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,356
2019-20,007901,CHARLOTTE ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,007901,CHARLOTTE ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,007901,CHARLOTTE ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,20
2019-20,007901,CHARLOTTE ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,36
2019-20,007901,CHARLOTTE ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,007901,CHARLOTTE ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,12
2019-20,007901,CHARLOTTE ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,-999
2019-20,007902,JOURDANTON ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,378"
2019-20,007902,JOURDANTON ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,29
2019-20,007902,JOURDANTON ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,007902,JOURDANTON ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,109
2019-20,007902,JOURDANTON ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,007902,JOURDANTON ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,-999
2019-20,007902,JOURDANTON ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,007902,JOURDANTON ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,32
2019-20,007904,LYTLE ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,415"
2019-20,007904,LYTLE ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,25
2019-20,007904,LYTLE ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,14
2019-20,007904,LYTLE ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,007904,LYTLE ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,189
2019-20,007904,LYTLE ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,18
2019-20,007904,LYTLE ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,22
2019-20,007904,LYTLE ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,007904,LYTLE ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,63
2019-20,007905,PLEASANTON ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"3,220"
2019-20,007905,PLEASANTON ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,17
2019-20,007905,PLEASANTON ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,007905,PLEASANTON ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,10
2019-20,007905,PLEASANTON ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,162
2019-20,007905,PLEASANTON ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,12
2019-20,007905,PLEASANTON ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,80
2019-20,007905,PLEASANTON ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,007905,PLEASANTON ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,10
2019-20,007906,POTEET ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,420"
2019-20,007906,POTEET ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,007906,POTEET ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,007906,POTEET ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,007906,POTEET ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,104
2019-20,007906,POTEET ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,007906,POTEET ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,17
2019-20,007906,POTEET ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,007906,POTEET ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,74
2019-20,008901,BELLVILLE ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,919"
2019-20,008901,BELLVILLE ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,269
2019-20,008902,SEALY ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"2,539"
2019-20,008902,SEALY ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,19
2019-20,008902,SEALY ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,22
2019-20,008902,SEALY ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,35
2019-20,008902,SEALY ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,109
2019-20,008902,SEALY ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,23
2019-20,008902,SEALY ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,71
2019-20,008902,SEALY ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
2019-20,008902,SEALY ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,-999
2019-20,008903,BRAZOS ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,805
2019-20,008903,BRAZOS ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,008903,BRAZOS ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,008903,BRAZOS ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,008903,BRAZOS ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,18
2019-20,008903,BRAZOS ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,008903,BRAZOS ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,-999
2019-20,008903,BRAZOS ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,14
2019-20,009901,MULESHOE ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,322"
2019-20,009901,MULESHOE ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,009901,MULESHOE ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,-999
2019-20,009901,MULESHOE ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,40
2019-20,009901,MULESHOE ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,-999
2019-20,009901,MULESHOE ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,-999
2019-20,010901,MEDINA ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,292
2019-20,010901,MEDINA ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,-999
2019-20,010901,MEDINA ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,-999
2019-20,010902,BANDERA ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"1,751"
2019-20,010902,BANDERA ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,49
2019-20,010902,BANDERA ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,18
2019-20,010902,BANDERA ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,29
2019-20,010902,BANDERA ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,215
2019-20,010902,BANDERA ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,17
2019-20,010902,BANDERA ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,63
2019-20,010902,BANDERA ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,11
2019-20,011901,BASTROP ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"9,509"
2019-20,011901,BASTROP ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,255
2019-20,011901,BASTROP ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,125
2019-20,011901,BASTROP ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,180
2019-20,011901,BASTROP ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,634
2019-20,011901,BASTROP ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,41
2019-20,011901,BASTROP ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,369
2019-20,011901,BASTROP ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,37
2019-20,011901,BASTROP ISD,7I,ENGAGED BEFORE 5/1; NOT ENGAGED 5/1 THRU END OF YR,245
2019-20,011902,ELGIN ISD,7A,ENGAGED FOR MAJORITY OF TIME PERIOD,"3,814"
2019-20,011902,ELGIN ISD,7B,NO CONTACT FOR ENTIRE TIME PERIOD,36
2019-20,011902,ELGIN ISD,7C,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER BUT NOT ENGAGED THRU END OF YR,15
2019-20,011902,ELGIN ISD,7D,NO CONTACT BEFORE 5/1; CONTACT 5/1 OR AFTER AND ENGAGED THRU END OF YR,-999
2019-20,011902,ELGIN ISD,7E,CONTACT BUT NOT ENGAGED FOR MAJORITY OF TIME PERIOD,284
2019-20,011902,ELGIN ISD,7F,CONTACT BUT NOT ENGAGED BEFORE 5/1; NO CONTACT 5/1 OR AFTER,22
2019-20,011902,ELGIN ISD,7G,CONTACT BUT NOT ENGAGED BEFORE 5/1; ENGAGED 5/1 OR AFTER THRU END OF YR,129
2019-20,011902,ELGIN ISD,7H,ENGAGED BEFORE 5/1; NO CONTACT 5/1 THRU END OF YR,-999
